DriverID,DriverName,Location,Status
201,Ayansa,CBD,Busy
202,Liyansa,Airport,Busy
203,Nimansa,University,Available
204,Avani,SuburbNorth,Offline
205,Sajith,Hospital,Busy
206,Praveen,ShoppingMall,Busy
207,Dhanishk,SuburbSouth,Busy
208,Mark,IndustrialPark,Offline
209,Nishitha,CBD,Busy
210,Kaviru,Airport,Available
211,Nilindra,University,Busy
212,Shalindra,Hospital,Available
213,Kethnula,SuburbNorth,Available
214,Navindu,ShoppingMall,Offline
215,Luthmin,SuburbSouth,Available
216,Randula,IndustrialPark,Offline
217,Raed,CBD,Available
218,Aken,Airport,Available
219,Mihin,University,Offline
220,Dulina,Hospital,Available
