PassengerID,PassengerName,PickupLocation,MembershipTier
101,Anne,CBD,1
102,Sanithi,Airport,3
103,Methni,University,2
104,Pasandul,SuburbNorth,5
105,Ayanthi,Hospital,1
106,Nesandi,ShoppingMall,4
107,Samadhi,SuburbSouth,2
108,Olini,IndustrialPark,3
109,Lesakya,CBD,5
110,Dulansa,Airport,1
111,Minudi,University,4
112,Methuki,Hospital,2
113,Manthi,ShoppingMall,3
114,Thinuli,SuburbNorth,1
115,Aseni,SuburbSouth,5
116,Ruhini,CBD,2
117,Muthuni,Airport,4
118,Jonathan,IndustrialPark,1
119,Mario,University,3
120,Chenelle,airport,1
121,Onel,IndustrialPark,3
122,Dulin,Hospital,6
